0.38191 	2.45468 	-3.33702e-15 	-2.24933e-15
0.39196 	2.46 	-3.29415e-15 	-2.26241e-15
0.40201 	2.46522 	-3.25064e-15 	-2.27519e-15
0.41206 	2.47003 	-3.20461e-15 	-2.28674e-15
0.422111 	2.47485 	-3.15858e-15 	-2.29828e-15
0.432161 	2.47966 	-3.11255e-15 	-2.30982e-15
0.442211 	2.48447 	-3.06651e-15 	-2.32136e-15
0.452261 	2.48919 	-3.0221e-15 	-2.32625e-15
0.462312 	2.4936 	-2.98329e-15 	-2.30821e-15
0.472362 	2.49801 	-2.94448e-15 	-2.29017e-15
0.482412 	2.50242 	-2.90566e-15 	-2.27213e-15
0.492462 	2.50683 	-2.86685e-15 	-2.25409e-15
0.502513 	2.51116 	-2.82805e-15 	-2.23944e-15
0.512563 	2.51524 	-2.78932e-15 	-2.23496e-15
0.522613 	2.51932 	-2.75059e-15 	-2.23047e-15
0.532663 	2.5234 	-2.71186e-15 	-2.22598e-15
0.542714 	2.52748 	-2.67312e-15 	-2.22149e-15
0.552764 	2.53148 	-2.63515e-15 	-2.21724e-15
0.562814 	2.53528 	-2.59919e-15 	-2.2136e-15
0.572864 	2.53909 	-2.56323e-15 	-2.20997e-15
0.582915 	2.54289 	-2.52726e-15 	-2.20633e-15
0.592965 	2.5467 	-2.4913e-15 	-2.20269e-15
0.603015 	2.55043 	-2.45555e-15 	-2.19174e-15
0.613065 	2.55401 	-2.42032e-15 	-2.16372e-15
0.623116 	2.55758 	-2.38509e-15 	-2.13569e-15
0.633166 	2.56115 	-2.34985e-15 	-2.10767e-15
0.643216 	2.56472 	-2.31462e-15 	-2.07965e-15
0.653266 	2.56823 	-2.28236e-15 	-2.06281e-15
0.663317 	2.57159 	-2.25628e-15 	-2.06922e-15
0.673367 	2.57496 	-2.23019e-15 	-2.07562e-15
0.683417 	2.57833 	-2.20411e-15 	-2.08202e-15
0.693467 	2.58169 	-2.17803e-15 	-2.08842e-15
0.703518 	2.585 	-2.15152e-15 	-2.09726e-15
0.713568 	2.58818 	-2.12421e-15 	-2.11063e-15
0.723618 	2.59136 	-2.0969e-15 	-2.124e-15
0.733668 	2.59455 	-2.06959e-15 	-2.13737e-15
0.743719 	2.59773 	-2.04228e-15 	-2.15074e-15
0.753769 	2.60085 	-2.01459e-15 	-2.13864e-15
0.763819 	2.60387 	-1.98626e-15 	-2.08409e-15
0.773869 	2.60688 	-1.95793e-15 	-2.02955e-15
0.78392 	2.6099 	-1.9296e-15 	-1.97501e-15
0.79397 	2.61291 	-1.90127e-15 	-1.92046e-15
0.80402 	2.61587 	-1.8817e-15 	-1.8657e-15
0.81407 	2.61873 	-1.87528e-15 	-1.81061e-15
0.824121 	2.62158 	-1.86886e-15 	-1.75552e-15
0.834171 	2.62444 	-1.86243e-15 	-1.70043e-15
0.844221 	2.6273 	-1.85601e-15 	-1.64533e-15
0.854271 	2.6301 	-1.84669e-15 	-1.60322e-15
0.864322 	2.63281 	-1.83346e-15 	-1.57867e-15
0.874372 	2.63552 	-1.82023e-15 	-1.55412e-15
0.884422 	2.63823 	-1.807e-15 	-1.52958e-15
0.894472 	2.64095 	-1.79376e-15 	-1.50503e-15
0.904523 	2.6436 	-1.78008e-15 	-1.48362e-15
0.914573 	2.64617 	-1.76585e-15 	-1.46605e-15
0.924623 	2.64874 	-1.75162e-15 	-1.44849e-15
0.934673 	2.65131 	-1.73738e-15 	-1.43092e-15
0.944724 	2.65388 	-1.72315e-15 	-1.41336e-15
0.954774 	2.65639 	-1.70438e-15 	-1.39664e-15
0.964824 	2.65883 	-1.68061e-15 	-1.38087e-15
0.974874 	2.66127 	-1.65684e-15 	-1.3651e-15
0.984925 	2.66371 	-1.63307e-15 	-1.34933e-15
0.994975 	2.66615 	-1.6093e-15 	-1.33355e-15
1.00503 	2.66852 	-1.58445e-15 	-1.31831e-15
1.01508 	2.67083 	-1.55852e-15 	-1.30358e-15
1.02513 	2.67314 	-1.53259e-15 	-1.28885e-15
1.03518 	2.67545 	-1.50666e-15 	-1.27413e-15
